County,Offences
Harju maakond,10.47090304762251
Tartu maakond,3.0668484251583323
Ida-Viru maakond,3.2251096760738576
Pärnu maakond,1.9144862795149968
Lääne-Viru maakond,1.5425911453909142
Jõgeva maakond,2.6650727796920046
Viljandi maakond,1.2694698988323476
Valga maakond,2.0706282796766415
Rapla maakond,1.6946096989363622
Saare maakond,1.5476226460720008
Põlva maakond,1.9799569927374527
Võru maakond,1.1972328109558095
Järva maakond,1.2659905879233777
Lääne maakond,1.1935042066131873
Hiiu maakond,1.3311862587224907
